a,b,donors,effect,ci_low,ci_high,p,q
MG_ON,MG_OFF,87,0.4876011195105798,0.4579081168945075,0.51768811776828,5.460181414946209e-16,1.6380544244838628e-15
PG_ON,PG_OFF,31,0.39849533571617096,0.31667179861533107,0.4743689982211998,6.51925802230835e-09,9.778887033462524e-09
ipRGC,PG_ON,12,-0.2177879066300128,-0.41231469170594387,-0.017869097294770122,0.05224609375,0.05224609375
