reference,subtype,donor,study,score
nonmidget,HRGC7,Hu0218,Shekhar_GSE237204,-0.08510291428569827
nonmidget,HRGC7,Hu0220,Shekhar_GSE237204,-0.16830513068451536
nonmidget,HRGC7,Hu0355,Shekhar_GSE237204,-0.20985163547898056
nonmidget,HRGC7,Hu0564,Shekhar_GSE237204,-0.29443448398461747
nonmidget,HRGC7,Hu0887,Shekhar_GSE237204,0.17284450147737418
nonmidget,HRGC7,Hu1059,Shekhar_GSE237204,-0.36609316366801714
nonmidget,HRGC7,MMD_22_02443,Chen_ancestry,-0.4361627762495053
nonmidget,HRGC7,MMD_22_14307,Chen_ancestry,-0.2940331362977412
nonmidget,HRGC7,MMD_22_16477,Chen_ancestry,0.09115389825107989
nonmidget,HRGC7,MMD_22_16860,Chen_ancestry,-0.43195188816418234
nonmidget,HRGC7,MMD_22_17017,Chen_ancestry,-0.3647150184432587
nonmidget,HRGC7,MMD_22_17464,Chen_ancestry,-0.4421937419350114
nonmidget,HRGC7,MMD_22_17939,Chen_ancestry,-0.47234730927370394
nonmidget,HRGC7,MMD_22_18633,Chen_ancestry,-0.6164644158703948
nonmidget,HRGC7,MMD_22_20137,Chen_ancestry,-0.7857895274856868
nonmidget,HRGC7,MMD_22_20357,Chen_ancestry,-0.7139913790052873
nonmidget,HRGC7,MMD_22_20372,Chen_ancestry,-0.540833302867491
nonmidget,HRGC7,MMD_22_21878,Chen_ancestry,-0.59206391682465
nonmidget,HRGC7,MMD_22_32888,Chen_ancestry,-0.5444878232371881
nonmidget,HRGC7,MMD_22_33472,Chen_ancestry,-0.5034848921199518
nonmidget,HRGC7,MMD_22_37089,Chen_ancestry,-0.28205471698822193
nonmidget,HRGC7,MMD_22_37117,Chen_ancestry,-0.08338680165095053
nonmidget,HRGC7,MMD_22_38453,Chen_ancestry,0.05040641730614892
nonmidget,HRGC8,19-D009,Chen_rgc,-0.4939782485232892
nonmidget,HRGC8,BCM_23_0334,Chen_ancestry,0.1925091839480033
nonmidget,HRGC8,Chen_19_D011,Chen_rgc,-0.6352647388782757
nonmidget,HRGC8,Chen_19_D014,Chen_b_GSE226108,1.319748293042524
nonmidget,HRGC8,Chen_19_D015,Chen_b_GSE226108,0.6929410449532761
nonmidget,HRGC8,Chen_D009_13,Chen_c_GSE247157,-0.502525987779248
nonmidget,HRGC8,Chen_D013_13,Chen_c_GSE247157,0.05985159781830812
nonmidget,HRGC8,MMD_22_17464,Chen_ancestry,0.2965863414222874
nonmidget,HRGC8,MMD_22_20137,Chen_ancestry,-0.0737037684528363
nonmidget,HRGC8,MMD_22_21878,Chen_ancestry,0.40115853411534896
nonmidget,HRGC8,MMD_22_32888,Chen_ancestry,0.11162869719316226
nonmidget,HRGC8,MMD_22_33472,Chen_ancestry,0.24377250195957462
nonmidget,HRGC9,BCM_22_0183,Chen_ancestry,-0.6993196563367785
nonmidget,HRGC9,BCM_22_0434,Chen_ancestry,-0.6735549766813766
nonmidget,HRGC9,BCM_22_0784,Chen_ancestry,-0.9362910970578857
nonmidget,HRGC9,Chen_19_D011,Chen_rgc,-0.9479235505029984
nonmidget,HRGC9,Hu0218,Shekhar_GSE237204,-0.9932997764885545
nonmidget,HRGC9,Hu0220,Shekhar_GSE237204,-1.0133489649596075
nonmidget,HRGC9,MMD_22_20357,Chen_ancestry,-1.17948287009551
nonmidget,HRGC9,MMD_22_20372,Chen_ancestry,-0.6858325138397319
nonmidget,HRGC9,MMD_22_32888,Chen_ancestry,-0.6644592259433457
nonmidget,HRGC9,MMD_22_33472,Chen_ancestry,-1.233028177945628
nonmidget,HRGC9,MMD_22_37117,Chen_ancestry,-0.8613047906634651
nonmidget,PG_OFF,19-D009,Chen_rgc,-0.843886310386671
nonmidget,PG_OFF,BCM_22_0183,Chen_ancestry,-0.14254750477300493
nonmidget,PG_OFF,BCM_22_0200,Chen_ancestry,-0.0684857618898681
nonmidget,PG_OFF,BCM_22_0434,Chen_ancestry,-0.02784119429465881
nonmidget,PG_OFF,BCM_22_0784,Chen_ancestry,0.04201802909697805
nonmidget,PG_OFF,BCM_23_0334,Chen_ancestry,-0.16751694723385313
nonmidget,PG_OFF,BCM_23_0358,Chen_ancestry,0.04677042906241391
nonmidget,PG_OFF,Chen_19_D007,Chen_rgc,0.1428604871175816
nonmidget,PG_OFF,Chen_19_D011,Chen_rgc,0.2034021955046108
nonmidget,PG_OFF,Chen_D013_13,Chen_c_GSE247157,0.16909625037006093
nonmidget,PG_OFF,Hu0218,Shekhar_GSE237204,0.05788416441870525
nonmidget,PG_OFF,Hu0220,Shekhar_GSE237204,0.02538381806857093
nonmidget,PG_OFF,Hu0355,Shekhar_GSE237204,0.19667951076906853
nonmidget,PG_OFF,Hu0564,Shekhar_GSE237204,-0.12800447072866716
nonmidget,PG_OFF,Hu0887,Shekhar_GSE237204,0.409263311821374
nonmidget,PG_OFF,Hu1059,Shekhar_GSE237204,0.29866265124084596
nonmidget,PG_OFF,MMD_22_02443,Chen_ancestry,-0.0014580802712758079
nonmidget,PG_OFF,MMD_22_13066,Chen_ancestry,-0.24731904993789344
nonmidget,PG_OFF,MMD_22_14307,Chen_ancestry,-0.2075739980337704
nonmidget,PG_OFF,MMD_22_16477,Chen_ancestry,0.03218169024164208
nonmidget,PG_OFF,MMD_22_16860,Chen_ancestry,-0.13348296569285767
nonmidget,PG_OFF,MMD_22_17017,Chen_ancestry,-0.12794705037584586
nonmidget,PG_OFF,MMD_22_17464,Chen_ancestry,-0.12590165521435293
nonmidget,PG_OFF,MMD_22_17939,Chen_ancestry,-0.15575105137853995
nonmidget,PG_OFF,MMD_22_18633,Chen_ancestry,-0.35006758365545476
nonmidget,PG_OFF,MMD_22_20137,Chen_ancestry,-0.11300736926831623
nonmidget,PG_OFF,MMD_22_20357,Chen_ancestry,-0.6001442722847965
nonmidget,PG_OFF,MMD_22_20372,Chen_ancestry,-0.003025857138932442
nonmidget,PG_OFF,MMD_22_21878,Chen_ancestry,-0.5153275656158799
nonmidget,PG_OFF,MMD_22_32888,Chen_ancestry,-0.16389588540496147
nonmidget,PG_OFF,MMD_22_33472,Chen_ancestry,-0.19483190780941373
nonmidget,PG_OFF,MMD_22_37089,Chen_ancestry,-0.19988094939291545
nonmidget,PG_OFF,MMD_22_37117,Chen_ancestry,-0.26223251868570796
nonmidget,PG_OFF,MMD_22_38453,Chen_ancestry,0.1418073286371031
nonmidget,PG_ON,BCM_22_0183,Chen_ancestry,0.361824216134085
nonmidget,PG_ON,BCM_22_0200,Chen_ancestry,0.4440522849050026
nonmidget,PG_ON,BCM_22_0434,Chen_ancestry,0.31581339877819037
nonmidget,PG_ON,BCM_22_0784,Chen_ancestry,0.5546644695582563
nonmidget,PG_ON,BCM_23_0334,Chen_ancestry,0.48871991082475463
nonmidget,PG_ON,Chen_19_D007,Chen_rgc,0.33341726449689546
nonmidget,PG_ON,Chen_19_D011,Chen_rgc,0.37973241490896864
nonmidget,PG_ON,Chen_19_D015,Chen_b_GSE226108,0.5382037066385152
nonmidget,PG_ON,Chen_19_D016,Chen_rgc,0.7608162718905345
nonmidget,PG_ON,Chen_D013_13,Chen_c_GSE247157,0.5241264137536576
nonmidget,PG_ON,Chen_D021_13,Chen_c_GSE247157,0.15871864863781954
nonmidget,PG_ON,Hu0218,Shekhar_GSE237204,0.7921450523468783
nonmidget,PG_ON,Hu0220,Shekhar_GSE237204,0.45256117436597676
nonmidget,PG_ON,Hu0235,Shekhar_GSE237204,0.16989453162859458
nonmidget,PG_ON,Hu0355,Shekhar_GSE237204,0.18323409538098112
nonmidget,PG_ON,Hu0869,Shekhar_GSE237204,-0.41737091899709344
nonmidget,PG_ON,Hu0887,Shekhar_GSE237204,0.27216370762368003
nonmidget,PG_ON,Hu1059,Shekhar_GSE237204,0.4346228493927065
nonmidget,PG_ON,MMD_22_02443,Chen_ancestry,0.29970827314359116
nonmidget,PG_ON,MMD_22_13066,Chen_ancestry,0.07524747794607634
nonmidget,PG_ON,MMD_22_14307,Chen_ancestry,0.33313613220770866
nonmidget,PG_ON,MMD_22_16477,Chen_ancestry,0.08844328538180184
nonmidget,PG_ON,MMD_22_16860,Chen_ancestry,0.8132531808047532
nonmidget,PG_ON,MMD_22_17017,Chen_ancestry,0.6014434500830683
nonmidget,PG_ON,MMD_22_17464,Chen_ancestry,0.7019105150971148
nonmidget,PG_ON,MMD_22_17939,Chen_ancestry,0.7457248103372347
nonmidget,PG_ON,MMD_22_18633,Chen_ancestry,0.6332686966163427
nonmidget,PG_ON,MMD_22_20137,Chen_ancestry,0.03275650973766098
nonmidget,PG_ON,MMD_22_20357,Chen_ancestry,0.24004151343220964
nonmidget,PG_ON,MMD_22_20372,Chen_ancestry,0.8707832559815978
nonmidget,PG_ON,MMD_22_21878,Chen_ancestry,0.2292941019876228
nonmidget,PG_ON,MMD_22_32888,Chen_ancestry,0.3831811999138575
nonmidget,PG_ON,MMD_22_33472,Chen_ancestry,0.6795892593907846
nonmidget,PG_ON,MMD_22_37089,Chen_ancestry,0.29814787546053617
nonmidget,PG_ON,MMD_22_37117,Chen_ancestry,0.4558687450010305
nonmidget,PG_ON,MMD_22_38453,Chen_ancestry,0.3929808910621654
nonmidget,ipRGC,BCM_22_0183,Chen_ancestry,0.8513803596054481
nonmidget,ipRGC,BCM_22_0434,Chen_ancestry,0.7974981109116763
nonmidget,ipRGC,Chen_19_D007,Chen_rgc,-0.33895392124215246
nonmidget,ipRGC,Chen_19_D011,Chen_rgc,0.08315945749423752
nonmidget,ipRGC,Chen_19_D013,Chen_b_GSE226108,-0.13517145319475976
nonmidget,ipRGC,Chen_19_D015,Chen_b_GSE226108,-0.13304646769938222
nonmidget,ipRGC,Chen_19_D016,Chen_rgc,0.3690770474472924
nonmidget,ipRGC,Hu0235,Shekhar_GSE237204,0.08493969368721122
nonmidget,ipRGC,Hu0869,Shekhar_GSE237204,0.18335183716845885
nonmidget,ipRGC,MMD_22_14307,Chen_ancestry,-0.15687274898739553
nonmidget,ipRGC,MMD_22_20137,Chen_ancestry,0.12093294077981911
nonmidget,ipRGC,MMD_22_20357,Chen_ancestry,-0.02270543856156751
nonmidget,ipRGC,MMD_22_21878,Chen_ancestry,0.41819841764099286
nonmidget,ipRGC,MMD_22_32888,Chen_ancestry,0.40424089587798395
nonmidget,ipRGC,MMD_22_37089,Chen_ancestry,0.1514469660134377
