reference,subtype,donor,study,score
all,MG_OFF,BCM_22_0047,Chen_ancestry,-0.842665822229951
all,MG_OFF,BCM_22_0183,Chen_ancestry,-0.42671625699766413
all,MG_OFF,BCM_22_0200,Chen_ancestry,-0.4541774645405807
all,MG_OFF,BCM_22_0389,Chen_ancestry,-0.41927257484656466
all,MG_OFF,BCM_22_0395,Chen_ancestry,-0.6303994893353051
all,MG_OFF,BCM_22_0434,Chen_ancestry,-0.5721991459703886
all,MG_OFF,BCM_22_0500,Chen_ancestry,-0.3100897333015772
all,MG_OFF,BCM_22_0784,Chen_ancestry,-0.5548465172104087
all,MG_OFF,BCM_22_0849,Chen_ancestry,-0.5905481087671353
all,MG_OFF,BCM_22_0867,Chen_ancestry,-0.27928262627439593
all,MG_OFF,BCM_22_0890,Chen_ancestry,-0.5370975697064544
all,MG_OFF,BCM_22_0896,Chen_ancestry,-0.3985633974340557
all,MG_OFF,BCM_23_0131,Chen_ancestry,-0.48131693571957157
all,MG_OFF,BCM_23_0231,Chen_ancestry,-0.26491041697010465
all,MG_OFF,BCM_23_0313,Chen_ancestry,-0.9013529394165427
all,MG_OFF,BCM_23_0334,Chen_ancestry,-0.44817741048674126
all,MG_OFF,BCM_23_0358,Chen_ancestry,-0.5668122759752549
all,MG_OFF,BCM_23_0574,Chen_ancestry,-0.4291476108277614
all,MG_OFF,BCM_23_0578,Chen_ancestry,-0.38627347010917434
all,MG_OFF,BCM_23_0792,Chen_ancestry,-0.3489385589326887
all,MG_OFF,BCM_23_1340,Chen_ancestry,-0.6245958313231967
all,MG_OFF,BCM_23_1401,Chen_ancestry,-0.44137765206208
all,MG_OFF,BCM_23_1448,Chen_ancestry,-0.585798992865102
all,MG_OFF,BCM_23_1556,Chen_ancestry,-0.532468261596064
all,MG_OFF,BCM_24_0080,Chen_ancestry,-0.284652204506222
all,MG_OFF,Chen_19_D003,Chen_c_GSE247157,-0.3820065463838933
all,MG_OFF,Chen_19_D006,Chen_c_GSE247157,-0.44722970236241444
all,MG_OFF,Chen_19_D007,Chen_rgc,-0.6158023957659438
all,MG_OFF,Chen_19_D010,Chen_c_GSE247157,-0.5856261206088951
all,MG_OFF,Chen_19_D011,Chen_rgc,-0.4212165015451591
all,MG_OFF,Chen_19_D013,Chen_b_GSE226108,-0.5527266432322564
all,MG_OFF,Chen_19_D014,Chen_b_GSE226108,-0.7820094069620297
all,MG_OFF,Chen_19_D015,Chen_b_GSE226108,-0.6228260531892992
all,MG_OFF,Chen_19_D016,Chen_rgc,-0.457913639221703
all,MG_OFF,Chen_19_D017,Chen_rgc,-0.6044910849107543
all,MG_OFF,Chen_19_D019,Chen_c_GSE247157,-0.578482040429289
all,MG_OFF,Chen_D005_13,Chen_c_GSE247157,-0.3726355727443349
all,MG_OFF,Chen_D009_13,Chen_c_GSE247157,-0.4154628401478959
all,MG_OFF,Chen_D013_13,Chen_c_GSE247157,-0.33604699940328175
all,MG_OFF,Chen_D017_13,Chen_c_GSE247157,-0.2290868691249755
all,MG_OFF,Chen_D018_13,Chen_c_GSE247157,-0.3389980245888492
all,MG_OFF,Chen_D021_13,Chen_c_GSE247157,-0.7088079351431745
all,MG_OFF,Chen_D026_13,Chen_c_GSE247157,-0.4778011747119768
all,MG_OFF,Chen_D027_13,Chen_c_GSE247157,-0.657326475233155
all,MG_OFF,Hu0218,Shekhar_GSE237204,-0.47605078752954394
all,MG_OFF,Hu0220,Shekhar_GSE237204,-0.4670935444036748
all,MG_OFF,Hu0235,Shekhar_GSE237204,-0.6140198942169569
all,MG_OFF,Hu0326,Shekhar_GSE237204,-0.4391742067733154
all,MG_OFF,Hu0355,Shekhar_GSE237204,-0.4244814832792415
all,MG_OFF,Hu0563,Shekhar_GSE237204,-0.4049359156161877
all,MG_OFF,Hu0564,Shekhar_GSE237204,-0.41308884049486877
all,MG_OFF,Hu0869,Shekhar_GSE237204,-0.6641204402488675
all,MG_OFF,Hu0887,Shekhar_GSE237204,-0.49590229588876156
all,MG_OFF,Hu1059,Shekhar_GSE237204,-0.5806760622506362
all,MG_OFF,MMD_22_02443,Chen_ancestry,-0.6264915918907216
all,MG_OFF,MMD_22_13066,Chen_ancestry,-0.6253736284813374
all,MG_OFF,MMD_22_14307,Chen_ancestry,-0.4507170957769182
all,MG_OFF,MMD_22_16477,Chen_ancestry,-0.5925183303148238
all,MG_OFF,MMD_22_16608,Chen_ancestry,-0.5138228374427267
all,MG_OFF,MMD_22_16860,Chen_ancestry,-0.5779638883383157
all,MG_OFF,MMD_22_17017,Chen_ancestry,-0.49507127341022433
all,MG_OFF,MMD_22_17464,Chen_ancestry,-0.42887734397061494
all,MG_OFF,MMD_22_17939,Chen_ancestry,-0.6906452876380265
all,MG_OFF,MMD_22_18633,Chen_ancestry,-0.4167361532476578
all,MG_OFF,MMD_22_20137,Chen_ancestry,-0.5656739238046259
all,MG_OFF,MMD_22_20357,Chen_ancestry,-0.5309506971585428
all,MG_OFF,MMD_22_20372,Chen_ancestry,-0.4594340184094716
all,MG_OFF,MMD_22_21878,Chen_ancestry,-0.520820385931306
all,MG_OFF,MMD_22_25357,Chen_ancestry,-0.22155180707524802
all,MG_OFF,MMD_22_32888,Chen_ancestry,-0.5030211835797955
all,MG_OFF,MMD_22_33472,Chen_ancestry,-0.6352029167143324
all,MG_OFF,MMD_22_34032,Chen_ancestry,-0.6408181978781645
all,MG_OFF,MMD_22_37089,Chen_ancestry,-0.5330830376845833
all,MG_OFF,MMD_22_37117,Chen_ancestry,-0.6376469301241938
all,MG_OFF,MMD_22_38029,Chen_ancestry,-0.9265883707589326
all,MG_OFF,MMD_22_38453,Chen_ancestry,-0.6055587114705455
all,MG_OFF,MMD_23_01524,Chen_ancestry,-0.3584991598820636
all,MG_OFF,MMD_23_02177,Chen_ancestry,-0.5333073370739962
all,MG_OFF,MMD_23_16055,Chen_ancestry,-0.767992028828092
all,MG_OFF,MMD_23_17738,Chen_ancestry,-0.6272356747694793
all,MG_OFF,MMD_23_21999,Chen_ancestry,-0.24116287248070783
all,MG_OFF,MMD_23_22486,Chen_ancestry,-0.34967322747564855
all,MG_OFF,sanes2022_Hu082219,Shekhar_GSE237204,-0.41011652150198175
all,MG_ON,19-D005,Chen_c_GSE247157,0.2262287300265402
all,MG_ON,19-D008,Chen_rgc,0.3576199966676319
all,MG_ON,19-D009,Chen_rgc,0.521593560242436
all,MG_ON,A23_5566_Atlanta,Chen_ancestry,0.4224950224682085
all,MG_ON,BCM_22_0047,Chen_ancestry,0.842665822229951
all,MG_ON,BCM_22_0183,Chen_ancestry,0.2706299193118279
all,MG_ON,BCM_22_0200,Chen_ancestry,0.3701523422926437
all,MG_ON,BCM_22_0389,Chen_ancestry,0.6593328666857491
all,MG_ON,BCM_22_0395,Chen_ancestry,0.6303994893353051
all,MG_ON,BCM_22_0434,Chen_ancestry,0.39822469827530277
