type,mouse,strata,control_cells,injured_cells,injury_difference
1,Opn4,2,537,85,-0.6706703273321823
1,Rasgrp1,2,537,85,0.4323872954002758
1,Prkcq,2,537,85,0.21595903690099266
1,Gldn,2,537,85,2.524361578114785
1,Ndnf,2,537,85,0.17697769070603997
1,Ctxn3,2,537,85,-1.9131674810838986
1,Gdf6,2,537,85,0.0
1,Eomes,2,537,85,0.3969278557418701
1,Ifitm10,2,537,85,3.2902005103289858
1,Igf1,2,537,85,1.258459721297061
1,Cd24a,2,537,85,6.179355166215007
1,Man1a,2,537,85,-2.360221134073763
1,Vat1l,2,537,85,-0.17374314858859963
1,Tbx20,2,537,85,-0.8221238715048873
1,Ptprt,2,537,85,2.49756963799686
1,Tmem255b,2,537,85,0.0
1,Dmrtb1,2,537,85,-0.4787289696162718
1,Parm1,2,537,85,-1.8177691713112867
1,Dgkg,2,537,85,-1.0498424509656747
1,Prph,2,537,85,-1.978308161808817
1,Plekha2,2,537,85,0.41051278514652834
1,Nppb,2,537,85,1.0419142313412748
1,Vim,2,537,85,3.8076853599698275
1,Enpp2,2,537,85,-1.3622035433983788
1,Igfbp2,2,537,85,-0.8409267092629986
1,Rgs10,2,537,85,-1.3859994288225277
1,Mgll,2,537,85,-3.2764657642518658
1,Phgdh,2,537,85,2.632555445253941
1,Mei4,2,537,85,-0.2725532495447298
1,Lmo1,2,537,85,-0.0698644942394786
1,Myo1b,2,537,85,-0.9775858955783332
1,Pdzd2,2,537,85,-0.5352655483722057
1,Lamb1,2,537,85,-1.3090702361354738
1,Rbpms2,2,537,85,-2.3634695671198185
1,Nell2,2,537,85,-1.5317691417333896
1,Plch2,2,537,85,-2.4615619173532686
1,Lrrc7,2,537,85,-0.4295454935511538
1,Calb2,2,537,85,-2.8208644514583066
1,Hpcal1,2,537,85,-1.3508670013794273
1,Rxrg,2,537,85,-1.4989311141637316
1,Kcnj5,2,537,85,-2.1600159200417828
1,Alcam,2,537,85,-1.3961823127981243
1,Nfe2l2,2,537,85,0.3661713764432495
1,Ptn,2,537,85,-0.6087710352551414
1,Bcl11b,2,537,85,-3.395140955791051
1,Aldh2,2,537,85,-0.048329513607229035
1,Klc3,2,537,85,-2.734683978482659
1,Crtac1,2,537,85,-2.2677287750927513
1,Neurod1,2,537,85,0.0
1,Dpysl4,2,537,85,-0.11723692197211477
1,Gnai1,2,537,85,-0.4871518829351156
1,Chrnb2,2,537,85,-0.6740048300877262
1,Dlgap1,2,537,85,0.5457248230908469
1,Dtx3l,2,537,85,0.7796135202242862
1,Lpar1,2,537,85,-0.26230071111698866
1,Pdlim5,2,537,85,-0.4787289696162718
1,Etl4,2,537,85,-1.1466547484631606
1,Fgf18,2,537,85,0.0
1,Man1a2,2,537,85,0.26484996432123653
1,Igfbp5,2,537,85,0.49438843025496837
1,Il1rapl2,2,537,85,0.6946880065172645
1,Irx1,2,537,85,-0.21642825849928315
1,Slc16a2,2,537,85,-0.4542420688328992
1,Ostf1,2,537,85,1.3250948508621117
1,Ksr1,2,537,85,-0.519713704817349
1,Slc7a8,2,537,85,-1.5508395956939949
1,Kcnc4,2,537,85,-0.5765327242899727
